P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C01	ADHESIVES_SEALANTS_AND_GROUTS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C02	ARCHITECTURAL_PAINTS_AND_WALL_FINISHES
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C04	AUTOMOTIVE_REFINISH_AND_AEROSOLS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C05	CLEANERS_POLISHES_AND_SURFACE_CARE
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C06	COLOURANTS_TINTING_AND_SAMPLING
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C07	FLOOR_COATINGS_AND_TRAFFIC_MARKINGS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C08	INDUSTRIAL_AND_PROTECTIVE_COATINGS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C09	METAL_COATINGS_AND_RUST_PROTECTION
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C10	SOLVENTS_THINNERS_AND_PROCESS_CHEMICALS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C11	SURFACE_PREPARATION_TOOLS_AND_ABRASIVES
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C12	WATERPROOFING_ROOF_AND_DAMP_PROOF_COATINGS
P31	PAINTS_CHEMICALS_AND_SURFACE_CARE	Paints, Chemicals & Surface Care (India)	P31.C13	WOOD_COATINGS_AND_CARE
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C01	ADHESIVES_SEALANTS_AND_INDUSTRIAL_TAPES
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C03	BEARINGS_LINEAR_MOTION_AND_POWER_TRANSMISSION
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C04	ESD_CLEANROOM_AND_LAB_SUPPORT
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C05	FIRE_SPILL_CONTROL_AND_EMERGENCY
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C06	HVAC_R_REFRIGERATION_AND_AIR_QUALITY
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C07	HOUSEKEEPING_JANITORIAL_AND_FACILITY_CARE
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C08	HYDRAULICS_AND_FLUID_POWER
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C09	INDUSTRIAL_AUTOMATION_SENSORS_AND_CONTROLS
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C10	INDUSTRIAL_IT_TOOLS_AND_ACCESSORIES
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C11	INDUSTRIAL_TOOLS_CUTTING_AND_WORKSHOP
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C12	LUBRICANTS_OILS_AND_INDUSTRIAL_FLUIDS
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C13	MATERIAL_HANDLING_LIFTING_AND_STORAGE
P32	INDUSTRIAL_MRO_AND_SAFETY	Industrial, MRO & Safety (India)	P32.C14	MOTORS_DRIVES_AND_INDUSTRIAL_ELECTRICALS
